Business Name,Category,Rating,Reviews,Phone,Email,Website,Address,City,State,Country,Postal Code,Opening Hours,Google Maps URL,Scraped At
Srie Vaare Estates,Construction company,,,,,,"No:2/11 Kalingarayan, Manikandan 2nd St, Grace Garden, Royapuram, Chennai, Greater Chennai, Tamil Nadu 600021, India","Chennai, Greater Chennai",Tamil Nadu,IN,600021,,https://www.google.com/maps/search/?api=1&query=Srie%20Vaare%20Estates&query_place_id=ChIJ0_RkkDRvUjoRv17d8gMg9wQ,2026-07-09T14:51:39.359Z
Reva Builder,Real estate developer,,,,,,"21/51, Appasamy Garden Main Rd, Old Washermanpet, Chennai, Greater Chennai, Tamil Nadu 600021, India","Chennai, Greater Chennai",Tamil Nadu,IN,600021,,https://www.google.com/maps/search/?api=1&query=Reva%20Builder&query_place_id=ChIJLyihE2RvUjoRmx6Eaz0dykE,2026-07-09T14:51:42.311Z
Krishna Groups,Real estate agency,,,,,,"101/108, MS Koil St, Minakshi Ammanpet, Royapuram, Chennai, Greater Chennai, Tamil Nadu 600013, India","Chennai, Greater Chennai",Tamil Nadu,IN,600013,,https://www.google.com/maps/search/?api=1&query=Krishna%20Groups&query_place_id=ChIJOdXRs2lvUjoRQ3LERUcazDk,2026-07-09T14:51:43.803Z
GLOBAL ESTATE SOLUTION,Real estate agency,,,,,,"Krishnakumar,faraz residency,33/204 Sudbadral Street ,triplicane,, Chennai, Tamil Nadu 600013, India",,,,,,https://www.google.com/maps/search/?api=1&query=GLOBAL%20ESTATE%20SOLUTION&query_place_id=ChIJEbqpFztvUjoR3nyIghD-P_U,2026-07-09T14:51:44.424Z
old washermenpet,Clothing wholesale market place,4.2,25.0,+91 95001 42890,,,"old washermenpet 21., Kothandaraman St, Chennai, Tamil Nadu 600021, India","Chennai, Greater Chennai",Tamil Nadu,IN,600021,,https://www.google.com/maps/search/?api=1&query=old%20washermenpet&query_place_id=ChIJXQlxkHpvUjoRogy9ayZtWE4,2026-07-09T14:51:46.655Z
Kishore Kumar,Housing development,5.0,1.0,,,,"472G+VRF, Ranga Pillai Gdn St, Kondithope, George Town, Chennai, Greater Chennai, Tamil Nadu 600001, India","Chennai, Greater Chennai",Tamil Nadu,IN,600001,,https://www.google.com/maps/search/?api=1&query=Kishore%20Kumar&query_place_id=ChIJC--8JgBvUjoR9R1VT3wwack,2026-07-09T14:51:50.811Z
Idream Properties,Construction company,4.0,6.0,+91 91767 07008,,,"177/88, Surya Narayana St, Kalmandapam, Royapuram, Chennai, Greater Chennai, Tamil Nadu 600013, India","Chennai, Greater Chennai",Tamil Nadu,IN,600013,"Monday: 9:30 AM to 6:30 PM, Tuesday: 9:30 AM to 6:30 PM, Wednesday: 9:30 AM to 6:30 PM, Thursday: 9:30 AM to 6:30 PM, Friday: 9:30 AM to 6:30 PM, Saturday: 9:30 AM to 6:30 PM, Sunday: Closed",https://www.google.com/maps/search/?api=1&query=Idream%20Properties&query_place_id=ChIJ_-0rtW5vUjoRTU-D7psaoUc,2026-07-09T14:51:54.477Z
DIVYA AGENCY,Real estate agency,,,,,,"476Q+RGH, Rajagopal St, Singara Garden, Old Washermanpet, Chennai, Greater Chennai, Tamil Nadu 600021, India","Chennai, Greater Chennai",Tamil Nadu,IN,600021,,https://www.google.com/maps/search/?api=1&query=DIVYA%20AGENCY&query_place_id=ChIJm47tRW9vUjoRmvoal8vMb34,2026-07-09T14:51:57.509Z
Chennai Asset Recovery P.LTD,Debt collection agency,4.9,157.0,+91 90879 41000,office@chennaiassetrecovery.com,http://www.chennaiassetrecovery.com/,"51, 25, Seven Wells St, Seven Wells North, George Town, Chennai, Greater Chennai, Tamil Nadu 600001, India","Chennai, Greater Chennai",Tamil Nadu,IN,600001,"Monday: 10 AM to 8 PM, Tuesday: 10 AM to 8 PM, Wednesday: 10 AM to 8 PM, Thursday: 10 AM to 8 PM, Friday: 10 AM to 8 PM, Saturday: 10 AM to 8 PM, Sunday: Closed",https://www.google.com/maps/search/?api=1&query=Chennai%20Asset%20Recovery%20P.LTD&query_place_id=ChIJb9_lnl5vUjoR2XqDgtthIvY,2026-07-09T14:51:47.623Z
CHANDRAVEL PERUMAL,Real estate agency,,,+91 80565 39151,,,"Chennai - Srikakulam Hwy, Mottai Garden, Old Washermanpet, Chennai, Greater Chennai, Tamil Nadu 600021, India","Chennai, Greater Chennai",Tamil Nadu,IN,600021,,https://www.google.com/maps/search/?api=1&query=CHANDRAVEL%20PERUMAL&query_place_id=ChIJOejTuUtvUjoR4pm194vOPjo,2026-07-09T14:52:01.882Z
Elite Properties,Real estate agency,5.0,1.0,+91 98417 46636,,,"No.3/2 Barber Royapuram Chennai, Tamil Nadu 600013, India","Greater Chennai, Chennai",Tamil Nadu,IN,600013,"Monday: Open 24 hours, Tuesday: Open 24 hours, Wednesday: Open 24 hours, Thursday: Open 24 hours, Friday: Open 24 hours, Saturday: Open 24 hours, Sunday: Open 24 hours",https://www.google.com/maps/search/?api=1&query=Elite%20Properties&query_place_id=ChIJaTjbKGlvUjoR_8fYfw-JeXM,2026-07-09T14:52:04.610Z
AMAN TOWERS,Real estate agency,4.4,13.0,,,,"No.1 Bajani Koli street Royapuram, Royapuram chennai, Tamil Nadu 600013, India","Royapuram chennai, Greater Chennai",Tamil Nadu,IN,600013,,https://www.google.com/maps/search/?api=1&query=AMAN%20TOWERS&query_place_id=ChIJ51C5zGlvUjoR8zU07o-C4_Y,2026-07-09T14:52:05.106Z
Vip Real Estate,Real estate agency,,,,,,"1, Broadway Rd, Amman Koil South, George Town, Chennai, Greater Chennai, Tamil Nadu 600001, India","Chennai, Greater Chennai",Tamil Nadu,IN,600001,,https://www.google.com/maps/search/?api=1&query=Vip%20Real%20Estate&query_place_id=ChIJ9T02qltvUjoRbiUAGvVk750,2026-07-09T14:52:08.053Z
Aysha Real Estate,Real estate agency,,,,,,"11/6, Chella Muthu Ln, Mannadi, George Town, Chennai, Greater Chennai, Tamil Nadu 600001, India","Chennai, Greater Chennai",Tamil Nadu,IN,600001,,https://www.google.com/maps/search/?api=1&query=Aysha%20Real%20Estate&query_place_id=ChIJ4QOO30RvUjoRLudD9vEFaMc,2026-07-09T14:52:08.393Z
RT REAL ESTATE,Real estate agency,5.0,1.0,,,,"477H+6HR, Parthasarathy Nagar Main Rd, Meenambal Nagar, Korukkupet, Old Washermanpet, Chennai, Greater Chennai, Tamil Nadu 600021, India","Chennai, Greater Chennai",Tamil Nadu,IN,600021,,https://www.google.com/maps/search/?api=1&query=RT%20REAL%20ESTATE&query_place_id=ChIJyaEZUGJvUjoR8jTvJUXO9v0,2026-07-09T14:52:12.525Z
Sri Shanti Real Estate,Real estate agent,3.0,2.0,+91 74073 63636,,,"5, Perumal Mudali St, Sowcarpet, George Town, Chennai, Greater Chennai, Tamil Nadu 600079, India","Chennai, Greater Chennai",Tamil Nadu,IN,600079,"Monday: 10:30 AM to 8:30 PM, Tuesday: 10:30 AM to 8:30 PM, Wednesday: 10:30 AM to 8:30 PM, Thursday: 10:30 AM to 8:30 PM, Friday: 10:30 AM to 8:30 PM, Saturday: 10:30 AM to 8:30 PM, Sunday: 11 AM to 2 PM",https://www.google.com/maps/search/?api=1&query=Sri%20Shanti%20Real%20Estate&query_place_id=ChIJmSl1AmhvUjoRch38baw-f7A,2026-07-09T14:52:13.065Z
Prabha Cool Bar,Retail space rental agency,4.7,6.0,+91 91768 68671,,,"81, Cemetery Rd, Minakshi Ammanpet, Royapuram, Chennai, Greater Chennai, Tamil Nadu 600013, India","Chennai, Greater Chennai",Tamil Nadu,IN,600013,,https://www.google.com/maps/search/?api=1&query=Prabha%20Cool%20Bar&query_place_id=ChIJ3RlLFFBnUjoRh4BpV3imadA,2026-07-09T14:52:14.234Z
Kavinithi Promoters - Real Estate & Land Developers,Corporate office,,,,,,"371, Thiruvottiyur High Rd, Mottai Garden, Poonamallee, Chennai, Greater Chennai, Tamil Nadu 600021, India","Chennai, Greater Chennai",Tamil Nadu,IN,600021,"Monday: 8 AM to 7:30 PM, Tuesday: 8 AM to 7:30 PM, Wednesday: 8 AM to 7:30 PM, Thursday: 8 AM to 7:30 PM, Friday: 8 AM to 7:30 PM, Saturday: 8 AM to 7:30 PM, Sunday: 8 AM to 7:30 PM",https://www.google.com/maps/search/?api=1&query=Kavinithi%20Promoters%20-%20Real%20Estate%20%26%20Land%20Developers&query_place_id=ChIJnbjipFBvUjoR_4m1fA2z3hM,2026-07-09T14:52:16.371Z
